game_id,date,home_club_id,away_club_id,homeTeamID,awayTeamID,gameID
3047653,2018-12-09,1082,1421,160,177,10805.0
3058539,2018-12-09,39,42,125,128,10461.0
3081177,2018-12-09,5,416,111,113,9719.0
3079485,2018-12-10,621,12321,147,223,10097.0
3050322,2018-12-10,29,1010,72,90,9351.0
3058549,2018-12-14,4,82,234,131,10471.0
3079496,2018-12-14,940,1244,152,159,10115.0
3050328,2018-12-15,873,1003,78,75,9365.0
3050335,2018-12-15,1010,603,90,227,9358.0
3050336,2018-12-15,543,989,229,73,9357.0
3081187,2018-12-15,46,410,106,99,9733.0
3058544,2018-12-15,79,44,133,122,10466.0
3079498,2018-12-15,3709,681,142,140,10113.0
3058547,2018-12-15,42,27,128,117,10469.0
3050329,2018-12-15,931,379,228,81,9364.0
3079497,2018-12-15,1533,1049,156,146,10114.0
3047698,2018-12-15,1421,667,177,225,10822.0
3079500,2018-12-15,366,13,231,143,10111.0
3050332,2018-12-15,281,29,88,72,9361.0
3058542,2018-12-15,16,86,129,123,10464.0
3079504,2018-12-15,418,367,150,145,10116.0
3081191,2018-12-15,416,506,113,98,9727.0
3050334,2018-12-15,148,1132,82,92,9359.0
3050330,2018-12-15,1110,762,219,86,9363.0
3058548,2018-12-15,38,60,233,135,10470.0
3058546,2018-12-15,167,33,121,124,10468.0
3058541,2018-12-15,533,18,120,130,10463.0
3047696,2018-12-16,417,618,170,175,10820.0
3058545,2018-12-16,24,15,132,119,10467.0
3050327,2018-12-16,1237,631,220,80,9366.0
3081184,2018-12-16,1390,6195,116,105,9730.0
3079503,2018-12-16,368,12321,138,223,10108.0
3081189,2018-12-16,1038,130,102,230,9735.0
3079501,2018-12-16,3368,131,151,148,10110.0
3047693,2018-12-16,1041,162,178,171,10817.0
3081190,2018-12-16,2722,862,221,109,9736.0
3081185,2018-12-16,430,749,110,108,9731.0
3050333,2018-12-16,180,11,74,83,9360.0
3047697,2018-12-16,1160,1082,235,160,10821.0
3079499,2018-12-16,5358,1050,232,154,10112.0
3058543,2018-12-16,23826,39,136,125,10465.0
3081188,2018-12-16,12,252,95,101,9734.0
3079502,2018-12-16,714,150,141,153,10109.0
3081186,2018-12-16,8970,6574,112,104,9732.0
3050331,2018-12-16,31,985,87,89,9362.0
3079495,2018-12-17,1108,621,158,147,10107.0
3081182,2018-12-17,800,398,107,96,9728.0
3047690,2018-12-18,1162,415,165,174,10814.0
3058553,2018-12-18,44,167,122,121,10480.0
3058558,2018-12-18,38,16,233,129,10478.0
3058552,2018-12-18,18,4,130,234,10479.0
3058557,2018-12-18,82,79,131,133,10477.0
3081183,2018-12-18,1025,5,97,111,9729.0
3058550,2018-12-19,27,23826,117,136,10472.0
