,club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
202,416,fc-turin,Fc Turin,IT1,,28,24.1,22,78.6,18,Stadio Olimpico Grande Torino,28177,+€13.53m,Ivan Juric,https://www.transfermarkt.co.uk/fc-turin/startseite/verein/416
203,6195,ssc-neapel,Ssc Neapel,IT1,,27,25.6,18,66.7,18,Stadio Diego Armando Maradona,54726,+€12.90m,Luciano Spalletti,https://www.transfermarkt.co.uk/ssc-neapel/startseite/verein/6195
204,749,fc-empoli,Fc Empoli,IT1,,30,24.4,17,56.7,10,Carlo Castellani,19847,+€15.12m,Paolo Zanetti,https://www.transfermarkt.co.uk/fc-empoli/startseite/verein/749
205,2239,us-cremonese,Us Cremonese,IT1,,31,25.1,17,54.8,7,Giovanni Zini,16003,€-26.30m,Massimiliano Alvini,https://www.transfermarkt.co.uk/us-cremonese/startseite/verein/2239
219,1025,fc-bologna,Fc Bologna,IT1,,30,24.9,20,66.7,11,Stadio Renato Dall’Ara,36462,+€10.23m,Thiago Motta,https://www.transfermarkt.co.uk/fc-bologna/startseite/verein/1025
222,5,ac-mailand,Ac Mailand,IT1,,31,26.2,25,80.6,19,Giuseppe Meazza,75923,€-35.15m,Stefano Pioli,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5
229,399,leeds-united,Leeds United,GB1,,26,25.3,19,73.1,10,Elland Road,37890,+€8.66m,Jesse Marsch,https://www.transfermarkt.co.uk/leeds-united/startseite/verein/399
231,873,crystal-palace,Crystal Palace,GB1,,24,27.0,13,54.2,8,Selhurst Park,26047,€-29.15m,Patrick Vieira,https://www.transfermarkt.co.uk/crystal-palace/startseite/verein/873
233,1237,brighton-amp-hove-albion,Brighton Amp Hove Albion,GB1,,23,25.0,16,69.6,12,AMEX Stadium,31800,+€68.17m,Roberto De Zerbi,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/startseite/verein/1237
234,180,fc-southampton,Fc Southampton,GB1,,24,25.0,16,66.7,11,St Mary's Stadium,32384,€-79.40m,Nathan Jones,https://www.transfermarkt.co.uk/fc-southampton/startseite/verein/180
